token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
Etching	etching	13944	technique	Print	Etching & engraving (intaglio)	Etching	300053241	keyword
Engraving	engraving	10809	technique	Print	Etching & engraving (intaglio)	Engraving	300053225	keyword
wood engraving	wood engraving	6999	technique	Print	Relief prints (woodcut, linocut)	Wood engraving	300053303	keyword
Lithograph	lithograph	6845	""	Print	Lithographs (planographic)	Lithograph	""	keyword
color woodcut	color woodcut	3248	technique	Print	Relief prints (woodcut, linocut)	Woodcut	300419280	keyword
color lithograph	color lithograph	2989	""	Print	Lithographs (planographic)	Lithograph	""	keyword
woodcut	woodcut	2970	technique	Print	Relief prints (woodcut, linocut)	Woodcut	300053296	keyword
gelatin silver print	gelatin silver print	1887	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Drypoint	drypoint	1800	technique	Print	Etching & engraving (intaglio)	Drypoint	300053228	keyword
etching and engraving	etching and engraving	1768	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Silk	silk	1737	material	Textile	Natural fiber (silk, wool, cotton)	Silk	300014072	keyword
wool	wool	1639	material	Textile	Natural fiber (silk, wool, cotton)	Wool	300014074	keyword
cotton	cotton	1414	material	Textile	Natural fiber (silk, wool, cotton)	Cotton	300014067	keyword
black ink on paper	black ink on paper	1368	""	Drawing	Ink	Black ink	""	keyword
glass	glass	1301	material	Ceramic & glass	Glass	Glass (unspecified)	300010797	keyword
Wood	wood	1248	material	Decorative & other materials	Wood	Wood	300011914	keyword
silver	silver	1214	material	Decorative & other materials	Precious metal (gold, silver)	Silver	300011029	keyword
Oil on canvas	oil on canvas	976	""	Painting	Oil	Oil on canvas	""	keyword
etching and mezzotint	etching and mezzotint	852	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Color offset lithograph poster	color offset lithograph poster	816	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
aquatint	aquatint	721	technique	Print	Etching & engraving (intaglio)	Aquatint	300053242	keyword
watercolor	watercolor	691	""	Painting	Watercolor	Watercolor	""	keyword
porcelain	porcelain	690	material	Ceramic & glass	Porcelain	Porcelain (unspecified)	300010662	keyword
Color screenprint	color screenprint	679	""	Print	Screenprints & stencils	Screenprint	""	keyword
ink on paper	ink on paper	663	""	Drawing	Ink	Ink (unspecified)	""	keyword
albumen silver print	albumen silver print	624	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
graphite	graphite	614	material	Drawing	Pencil, chalk & crayon	Graphite / pencil	300011098	keyword
sterling silver	sterling silver	552	material	Decorative & other materials	Precious metal (gold, silver)	Silver	300010977	keyword
etching (hand-colored)	etching (hand-colored)	541	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
color lithograph poster	color lithograph poster	535	""	Print	Lithographs (planographic)	Lithograph	""	keyword
mezzotint	mezzotint	528	technique	Print	Etching & engraving (intaglio)	Mezzotint	300053233	keyword
offset lithograph	offset lithograph	521	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
color offset lithograph cover with black and white offset lithograph comics	color offset lithograph cover with black and white offset lithograph comics	521	""	Print	Lithographs (planographic)	Mixed / other planographic	""	keyword
ceramic	ceramic	509	material	Ceramic & glass	Other ceramic	Ceramic	300235507	keyword
Etching and drypoint	etching and drypoint	497	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
stone	stone	478	material	Decorative & other materials	Other material	Stone	300011176	keyword
Earthenware	earthenware	472	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
color etching	color etching	468	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Line block and letterpress	line block and letterpress	466	""	Print	Relief prints (woodcut, linocut)	Letterpress & line block	""	keyword
lithograph with hand coloring	lithograph with hand coloring	458	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Bronze	bronze	455	material	Sculpture	Bronze	Bronze	300010957	keyword
color wood engraving	color wood engraving	443	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
linen	linen	438	material	Textile	Natural fiber (silk, wool, cotton)	Linen	300014069	keyword
Color aquatint	color aquatint	435	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
embroidery	embroidery	431	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
knotted pile	knotted pile	412	""	Textile	Textile technique (weaving, embroidery)	Knotted pile	""	keyword
brass	brass	406	material	Decorative & other materials	Base metal (bronze, iron, copper)	Brass	300010946	keyword
terracotta	terracotta	403	material	Ceramic & glass	Earthenware & stoneware	Terracotta	300010669	keyword
Opaque watercolor on paper	opaque watercolor on paper	393	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
metal	metal	393	material	Decorative & other materials	Other material	Metal	300010900	keyword
Photo	photo	391	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
Etching and aquatint	etching and aquatint	390	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
offset lithograph print	offset lithograph print	366	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
engraving and etching	engraving and etching	359	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
etching and aquatint (hand-colored)	etching and aquatint (hand-colored)	354	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
graphite on paper	graphite on paper	349	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
photograph	photograph	331	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
Soft-paste porcelain	soft-paste porcelain	309	""	Ceramic & glass	Porcelain	Soft-paste porcelain	""	keyword
silver gelatin print	silver gelatin print	303	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
ink	ink	299	material	Drawing	Ink	Ink (unspecified)	300015012	keyword
hard-paste porcelain	hard-paste porcelain	270	""	Ceramic & glass	Porcelain	Hard-paste porcelain	""	keyword
plain weave	plain weave	267	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
leather	leather	256	material	Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	300011845	keyword
etchings	etchings	253	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
lace	lace	247	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
wrought iron	wrought iron	245	material	Decorative & other materials	Base metal (bronze, iron, copper)	Iron	300011012	keyword
plaster	plaster	243	material	Sculpture	Plaster	Plaster	300014922	keyword
watercolor on paper	watercolor on paper	243	""	Painting	Watercolor	Watercolor	""	keyword
Screenprint	screenprint	238	""	Print	Screenprints & stencils	Screenprint	""	keyword
Soft ground etching	soft ground etching	235	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
torn and deckle edges	torn and deckle edges	234	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
pigment	pigment	233	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
beads	beads	233	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
sterling silver gilt	sterling silver gilt	228	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
cut edges	cut edges	228	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Color lithograph on Rives BFK paper	color lithograph on rives bfk paper	228	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Color offset lithograph	color offset lithograph	223	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
stipple engraving with hand coloring	stipple engraving with hand coloring	216	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
camelid fiber	camelid fiber	215	""	Textile	Natural fiber (silk, wool, cotton)	Camelid / alpaca	""	keyword
ivory	ivory	214	material	Decorative & other materials	Animal material (ivory, bone, leather)	Ivory / tusk	300011857	keyword
spit bite aquatint	spit bite aquatint	208	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Oil on wood panel	oil on wood panel	207	""	Painting	Oil	Oil on panel	""	keyword
book with 206 photopolymer prints	book with 206 photopolymer prints	207	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
line etching with hand coloring	line etching with hand coloring	199	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
earthenware and pigment	earthenware and pigment	198	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
tapestry weave	tapestry weave	197	""	Textile	Textile technique (weaving, embroidery)	Tapestry	""	keyword
pen and black ink	pen and black ink	197	""	Drawing	Ink	Other ink	""	keyword
engraving on chine collé	engraving on chine collé	196	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
hand-colored lithograph	hand-colored lithograph	193	""	Print	Lithographs (planographic)	Lithograph	""	keyword
bleed image	bleed image	193	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Relief etching on zinc	relief etching on zinc	190	""	Print	Relief prints (woodcut, linocut)	Relief etching	""	keyword
Graphite on tracing paper	graphite on tracing paper	186	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
velvet	velvet	186	material	Textile	Woven & worked cloth	Velvet	300133711	keyword
lithograph on Arches Wove paper	lithograph on arches wove paper	177	""	Print	Lithographs (planographic)	Lithograph	""	keyword
lithograph poster	lithograph poster	174	""	Print	Lithographs (planographic)	Lithograph	""	keyword
engraving with etching	engraving with etching	174	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
color aquatint with hand coloring	color aquatint with hand coloring	173	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
illustration	illustration	172	technique	Other / unclassified	Other / unclassified	Illustration	300054200	other
monotype	monotype	170	technique	Print	Lithographs (planographic)	Monotype / monoprint	300053277	keyword
satin	satin	165	material	Textile	Woven & worked cloth	Satin	300132902	keyword
Faience	faience	165	material	Ceramic & glass	Earthenware & stoneware	Earthenware	300265183	keyword
fiber	fiber	159	""	Textile	Other textile	Other textile	""	keyword
cellulose nitrate negative	cellulose nitrate negative	158	""	Photograph	Negative / transparency	Negative / transparency	""	keyword
Engraving on type metal	engraving on type metal	157	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
opaque watercolor	opaque watercolor	157	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
metallic thread	metallic thread	157	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
Pen and ink	pen and ink	157	""	Drawing	Ink	Ink (unspecified)	""	keyword
wood engravings	wood engravings	156	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
"lithograph on Van Gelder Holland wove paper (watermarked ""Daphnis et Chloé"")"	"lithograph on van gelder holland wove paper (watermarked ""daphnis et chloé"")"	156	""	Print	Lithographs (planographic)	Lithograph	""	keyword
book with engravings	book with engravings	155	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
loose in wrappers with black lettering on cover	loose in wrappers with black lettering on cover	152	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Lithograph (color) on Arches wove paper	lithograph (color) on arches wove paper	151	""	Print	Lithographs (planographic)	Lithograph	""	keyword
pen	pen	146	""	Drawing	Ink	Other ink	""	keyword
etching with hand coloring	etching with hand coloring	145	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
color lithograph with hand coloring	color lithograph with hand coloring	142	""	Print	Lithographs (planographic)	Lithograph	""	keyword
C-print photograph on Fuji Crystal Archive Paper	c-print photograph on fuji crystal archive paper	141	""	Photograph	Chromogenic / C print	Chromogenic / C print	""	keyword
gillotage	gillotage	140	""	Print	Other print process	Other print process	""	keyword
gold	gold	140	material	Decorative & other materials	Precious metal (gold, silver)	Gold	300011021	keyword
woodcut proof	woodcut proof	139	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
porcelain with underglazed decorative motifs in blue	porcelain with underglazed decorative motifs in blue	138	""	Ceramic & glass	Porcelain	Porcelain (unspecified)	""	keyword
and drypoint	and drypoint	137	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
Glass beads	glass beads	135	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
plastic	plastic	133	material	Decorative & other materials	Plastic & synthetic	Plastic	300014570	keyword
aquatint with hand coloring	aquatint with hand coloring	133	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
copper	copper	132	material	Decorative & other materials	Base metal (bronze, iron, copper)	Copper	300011020	keyword
color etching and aquatint	color etching and aquatint	129	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Etching with drypoint	etching with drypoint	129	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Gillotage with pochoir	gillotage with pochoir	128	""	Print	Screenprints & stencils	Pochoir	""	keyword
photograhic media	photograhic media	127	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
carved wood	carved wood	125	""	Sculpture	Wood	Wood	""	keyword
slit tapestry weave	slit tapestry weave	124	""	Textile	Textile technique (weaving, embroidery)	Tapestry	""	keyword
aquatint with etching	aquatint with etching	121	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
printed paper magazine	printed paper magazine	118	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Color lithograph on Arches paper	color lithograph on arches paper	117	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Color offset lithograph postcard	color offset lithograph postcard	116	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
stipple engraving	stipple engraving	115	technique	Print	Etching & engraving (intaglio)	Engraving	300053239	keyword
black ink	black ink	115	""	Drawing	Ink	Black ink	""	keyword
Woodburytype	woodburytype	114	technique	Photograph	Photogravure / photomechanical	Woodburytype	300053509	keyword
Drawing	drawing	112	technique	Drawing	Other drawing media	Drawing	300054031	keyword
photomechanical reproduction of a drawing	photomechanical reproduction of a drawing	112	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
rayon	rayon	112	material	Textile	Synthetic fiber (nylon, polyester)	Rayon	300014059	keyword
polaroid	polaroid	112	""	Photograph	Other photographic	Other photographic	""	keyword
Oban print	oban print	111	""	Print	Other print process	Other print process	""	keyword
"lithograph (pink sanguine) on Holland wove paper watermarked ""Parallèlement"""	"lithograph (pink sanguine) on holland wove paper watermarked ""parallèlement"""	110	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Color woodcut triptych	color woodcut triptych	110	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
steel engraving	steel engraving	108	technique	Print	Etching & engraving (intaglio)	Engraving	300190536	keyword
etching on chine colle	etching on chine colle	108	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Etching with engraving	etching with engraving	107	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
hard ground etching	hard ground etching	105	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Silver gilt	silver gilt	105	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
"""process print"" illustration on Arches laid paper"	"""process print"" illustration on arches laid paper"	103	""	Print	Other print process	Other print process	""	keyword
color engraving	color engraving	103	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
Lithograph on newsprint with text verso	lithograph on newsprint with text verso	102	""	Print	Lithographs (planographic)	Lithograph	""	keyword
bamboo	bamboo	102	material	Decorative & other materials	Wood	Bamboo	300011873	keyword
photomechanically reproduced text on machine-made vellum-type paper	photomechanically reproduced text on machine-made vellum-type paper	101	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
Black and white woodcut	black and white woodcut	99	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
paint	paint	97	material	Painting	Other paint	Paint	300015029	keyword
offset lithograph poster	offset lithograph poster	96	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
etching on Japan nacre	etching on japan nacre	96	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Etching and mezzotint printed in brown ink	etching and mezzotint printed in brown ink	94	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
photogravure	photogravure	94	technique	Photograph	Photogravure / photomechanical	Photogravure	300053207	keyword
shell	shell	92	material	Decorative & other materials	Animal material (ivory, bone, leather)	Shell	300011829	keyword
nylon	nylon	92	material	Textile	Synthetic fiber (nylon, polyester)	Nylon	300014462	keyword
Color monotype	color monotype	92	""	Print	Lithographs (planographic)	Monotype / monoprint	""	keyword
Lithograph on Rives BFK paper	lithograph on rives bfk paper	91	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Color woodblock print	color woodblock print	91	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Pen and brown ink	pen and brown ink	90	""	Drawing	Ink	Other ink	""	keyword
Aquatint and etching	aquatint and etching	90	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Soft-ground etching	soft-ground etching	90	technique	Print	Etching & engraving (intaglio)	Etching	300053251	keyword
hardwood	hardwood	88	material	Decorative & other materials	Other material	Hardwood	300011916	aat
woodcut printed in black	woodcut printed in black	86	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
pastel	pastel	86	material	Drawing	Pencil, chalk & crayon	Pastel	300404632	keyword
sketchbook	sketchbook	85	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
pencil on paper	pencil on paper	85	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
silk satin	silk satin	85	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Marble	marble	85	material	Sculpture	Marble	Marble	300011443	keyword
Polyester	polyester	84	material	Textile	Synthetic fiber (nylon, polyester)	Polyester	300014546	keyword
wax-resist dyeing (batik)	wax-resist dyeing (batik)	84	""	Textile	Textile technique (weaving, embroidery)	Resist dyeing (batik, ikat)	""	keyword
printed	printed	83	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
feathers	feathers	83	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
drypoint etching	drypoint etching	83	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
bronze medal	bronze medal	83	""	Sculpture	Bronze	Bronze	""	keyword
etching and stipple engraving with hand coloring	etching and stipple engraving with hand coloring	82	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
charcoal	charcoal	82	material	Drawing	Pencil, chalk & crayon	Charcoal	300012862	keyword
linocut on Rives wove paper	linocut on rives wove paper	82	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
engraving in pre-prepared frame	engraving in pre-prepared frame	81	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
suite of 79 woodcuts on Japan nacré paper	suite of 79 woodcuts on japan nacré paper	81	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
book with 80 color woodcuts (1 with gouche) on Arches wove paper (4 on Auvergne paper)	book with 80 color woodcuts (1 with gouche) on arches wove paper (4 on auvergne paper)	81	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
pastel on paper	pastel on paper	80	""	Drawing	Pencil, chalk & crayon	Pastel	""	keyword
Offset print	offset print	80	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
clay	clay	80	material	Ceramic & glass	Other ceramic	Clay	300010439	keyword
Engraving with hand coloring	engraving with hand coloring	79	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
line engraving	line engraving	79	technique	Print	Etching & engraving (intaglio)	Engraving	300053231	keyword
photomechanical relief process	photomechanical relief process	78	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
bone	bone	77	material	Decorative & other materials	Animal material (ivory, bone, leather)	Bone / antler / horn	300011798	keyword
crayon	crayon	77	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
warp-resist dyeing (ikat)	warp-resist dyeing (ikat)	77	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
aquatint and drypoint	aquatint and drypoint	77	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
color photograph	color photograph	76	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
painted	painted	76	""	Painting	Other paint	Other paint	""	keyword
brocade	brocade	76	material	Textile	Woven & worked cloth	Brocade	300227779	keyword
Paper	paper	75	material	Textile	Other textile	Paper	300014109	aat
selenium-toned gelatin silver print	selenium-toned gelatin silver print	75	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
mixed media stain on Eagle Coupon Board	mixed media stain on eagle coupon board	74	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silk velvet	silk velvet	74	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
original color xerox print	original color xerox print	74	""	Print	Other print process	Other print process	""	keyword
wood engraved vignette	wood engraved vignette	73	""	Decorative & other materials	Wood	Wood	""	keyword
woodcut printed in red	woodcut printed in red	73	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
collage	collage	73	technique	Other / unclassified	Other / unclassified	Collage	300138699	other
pen and ink on paper	pen and ink on paper	73	""	Drawing	Ink	Ink (unspecified)	""	keyword
Asian ceramic	asian ceramic	72	""	Ceramic & glass	Other ceramic	Other ceramic	""	keyword
ink on paper (letterhead)	ink on paper (letterhead)	71	""	Drawing	Ink	Ink (unspecified)	""	keyword
wood engraving with hand coloring after lithograph with hand coloring	wood engraving with hand coloring after lithograph with hand coloring	71	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
raffia	raffia	71	material	Textile	Other textile	Raffia	300014051	keyword
tortoise shell	tortoise shell	70	material	Decorative & other materials	Animal material (ivory, bone, leather)	Shell	300011837	keyword
pressed lead glass	pressed lead glass	70	""	Ceramic & glass	Glass	Lead / crystal glass	""	keyword
Woodcut on Holland van de Gelder laid paper	woodcut on holland van de gelder laid paper	70	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
knotted pile (symmetrical knot)	knotted pile (symmetrical knot)	70	""	Textile	Textile technique (weaving, embroidery)	Knotted pile	""	keyword
Charcoal and pastel	charcoal and pastel	69	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
etching and	etching and	69	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
or engraving	or engraving	69	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
sugar lift aquatint	sugar lift aquatint	69	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Collotype with pochoir	collotype with pochoir	68	""	Print	Lithographs (planographic)	Collotype	""	keyword
Drypoint and etching	drypoint and etching	68	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
color screenprint poster	color screenprint poster	68	""	Print	Screenprints & stencils	Screenprint	""	keyword
chromolithograph	chromolithograph	67	""	Print	Lithographs (planographic)	Chromolithograph	""	keyword
etching with burin engraving on Rives Royal paper in unbound book	etching with burin engraving on rives royal paper in unbound book	67	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Color aquatint etching	color aquatint etching	67	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
linocut	linocut	67	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
sequins	sequins	67	material	Textile	Thread & trimmings	Sequins	300183896	aat
colored pencil on paper	colored pencil on paper	67	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
acrylic	acrylic	66	material	Painting	Acrylic	Acrylic	300014426	keyword
gelatin silver prints	gelatin silver prints	66	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
book with etchings	book with etchings	65	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
earthenware with pigment	earthenware with pigment	65	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
Softground etching	softground etching	65	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
etching on Japanese paper	etching on japanese paper	65	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
charcoal on paper	charcoal on paper	64	""	Drawing	Pencil, chalk & crayon	Charcoal	""	keyword
sheep's wool or camelid hair	sheep's wool or camelid hair	64	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
suede	suede	64	material	Decorative & other materials	Other material	Suede	300193368	aat
lithograph on Arches paper	lithograph on arches paper	63	""	Print	Lithographs (planographic)	Lithograph	""	keyword
etching on Somerset paper	etching on somerset paper	63	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
supplementary-weft patterning	supplementary-weft patterning	63	""	Textile	Other textile	Other textile	""	keyword
paint on ivory	paint on ivory	62	""	Painting	Other paint	Other paint	""	keyword
Etching on Vidalon Rives wove paper	etching on vidalon rives wove paper	62	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
etching and aquatint on  Somerset paper	etching and aquatint on  somerset paper	62	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
net	net	61	material	Textile	Other textile	Net	300249438	aat
Color spit bite aquatint	color spit bite aquatint	61	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
photoetching	photoetching	61	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
photomechanical relief process reproduction of drawing	photomechanical relief process reproduction of drawing	61	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
applique	applique	61	""	Textile	Other textile	Other textile	""	keyword
platinum print	platinum print	61	""	Photograph	Platinum / palladium print	Platinum / palladium print	""	keyword
Glazed earthenware	glazed earthenware	60	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
screenless color offset lithograph (Derby Print Process)	screenless color offset lithograph (derby print process)	60	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
supplementary weft patterning	supplementary weft patterning	59	""	Textile	Other textile	Other textile	""	keyword
pieced	pieced	59	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
typographic print on handmade paper (see printer's notes)	typographic print on handmade paper (see printer's notes)	59	""	Photograph	Chromogenic / C print	Chromogenic / C print	""	keyword
graphite and colored pencil on paper	graphite and colored pencil on paper	59	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
double-sided ink and colored pencil drawing	double-sided ink and colored pencil drawing	58	""	Drawing	Ink	Ink (unspecified)	""	keyword
stone and quartz	stone and quartz	58	""	Decorative & other materials	Other material	Other material	""	keyword
with cut-outs	with cut-outs	58	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
iron	iron	58	material	Decorative & other materials	Base metal (bronze, iron, copper)	Iron	300011002	keyword
felt	felt	58	material	Textile	Woven & worked cloth	Felt	300014107	keyword
color woodcut on dark mica ground	color woodcut on dark mica ground	58	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
chiffon	chiffon	57	material	Textile	Other textile	Chiffon	300249449	aat
gelatin silver print (printed later)	gelatin silver print (printed later)	57	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Hand-colored etching	hand-colored etching	57	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
handcolored etching on laid paper	handcolored etching on laid paper	56	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
ink and watercolor on paper	ink and watercolor on paper	56	""	Drawing	Ink	Ink (unspecified)	""	keyword
Etching on Shidzuoka Japanese paper	etching on shidzuoka japanese paper	55	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
metal ring	metal ring	55	""	Decorative & other materials	Other material	Other material	""	keyword
"etching and drypoint on Arches wove paper watermarked ""Les Ames Mortes"""	"etching and drypoint on arches wove paper watermarked ""les ames mortes"""	55	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
book with chromolithographs	book with chromolithographs	54	""	Print	Lithographs (planographic)	Mixed / other planographic	""	keyword
ink on tracing paper	ink on tracing paper	54	""	Drawing	Ink	Ink (unspecified)	""	keyword
gold-toned albumen silver print from a collodion negative	gold-toned albumen silver print from a collodion negative	54	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Vintage gelatin silver print	vintage gelatin silver print	54	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
colored pencil	colored pencil	54	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
Lithograph (color) on ivory handmade paper watermarked with author and artist's	lithograph (color) on ivory handmade paper watermarked with author and artist's	54	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Black	black	53	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
